name,address,price
Sunoco,"1770 S Easton Rd, Doylestown, PA 18901",3.35
Exxon,"539 N Main St, Doylestown, PA 18901-3405",3.39
Shell,"1807 S Easton Rd, Doylestown, PA 18901",3.39
Liberty,"290 W State St, Doylestown, PA 18901-3533",3.39
Liberty,"235 N Main St, Doylestown, PA 18901-3729",3.39
Global,"3611 N EASTON RD, Doylestown, PA 18902",3.39
Lukoil,"440 E Swamp Rd, Doylestown, PA 18901-4703",3.43
Sunoco,"610 N Main St, Doylestown, PA 18901-2402",3.45
Shell,"4247 W Swamp Rd, Doylestown, PA 18902-1032",3.45
Wawa,"425 S Main St, Doylestown, PA 18901",3.45
